Category,Tab,Property,Confidence,Real M-Files field(s),Source section,Mermaid §3.5 (Yes/Partial/No),Exact Mermaid syntax,Gap / Note
State,Advanced,Unique ID (state),🟢,"Unique ID (GUID)","§1.4",No,,"Minimal identifier tab. Config-only."
State,(workflow-level designation),Initial state flag,🔵,"Workflow's designation of one state as initial; source doc addresses it only in demonstration-status §6","§6.3 / §6.4 (flagged as G4 — §6 self-declares as not a confirmed/documented claim)",Yes,"[*] --> Draft","Per §6.4 this sets a state property, NOT a transition; importer must special-case [*] edges. Not established in §1/§2."
State,(structural),Terminal state (no outgoing transitions),🔵,"Absence of outgoing transitions","§3 (End event row) + §6.3/§6.4",Yes,"Rejected --> [*]","Translator convention adopted in §6.4, not an M-Files field; second end-event shape (Actions → Delete, §3) handled separately."
Transition,(structural),FromState / ToState (edge identity),🟢,"Transition's source and destination state references","§3 (Sequence flow row), §1.4, §6.2 (From → To column)",Yes,"StateA --> StateB","The arrow itself; structural, not a dialog field."
Transition,General,Transition Name,🟡,"Name (State Transition – General tab)","EXTERNAL: M-Files User Guide, state transition properties (gap G1 — tab existence 🟢 §1.4 but contents never enumerated in source doc)",No,,"Flagged to source doc first per task constraint. §3.5 labels encode mechanism, not the transition's Name field."
Transition,General,Transition Description,🟡,"Description (State Transition – General tab)","EXTERNAL: M-Files User Guide (gap G1)",No,,"Config-only; same gap as Transition Name."
Transition,Permissions,Permissions: Direct (named users/groups),🔵,"Permissions tab, direct selection method","§2.3",Partial,"StateA --> StateB : role(Approver)","role(...) encodes restriction presence only; the three §2.3 selection methods are not distinguishable → lossy. role(...) also implies TriggerMode = 0 per §6.2."
Transition,Permissions,Permissions: Metadata-based (pseudo-users),🔵,"Permissions tab, metadata-based method","§2.3",Partial,"role(...) — method not distinguishable","Lossy: no §3.5 syntax distinguishes metadata-derived permission."
Transition,Permissions,Permissions: Prior-transition-based,🔵,"Permissions tab, prior-transition method","§2.3",Partial,"role(...) — method not distinguishable","Lossy: no §3.5 syntax distinguishes prior-transition restriction."
Transition,Electronic Signature,Require electronic signature,🔵,"'Require electronic signature for this action' checkbox","§2.1 + §3.5",Partial,"StateA --> StateB : role(Approver)+esign","§3.5 specifies +esign only combined with role(...); esign on an unrestricted transition has no defined syntax. §2.1 platform limits (Windows auth only; one object at a time; separate license) not encodable in Mermaid."
Transition,Electronic Signature,Signature meaning (reason/meaning or custom description + placeholders),🔵,"Signature meaning config; supports %SIGNED_BY% / %SIGNED_FROM_STATE% / %SIGNED_TO_STATE%","§2.1 + §6.2",No,,"Explicitly inexpressible per §6.2: 'signature-meaning configuration itself isn't expressible in this label'; importer needs a default or follow-up prompt."
Transition,Electronic Signature,Signature association (metadata property vs separate signature object),🔵,"Signature storage/association option","§2.1",No,,"Config-only; no §3.5 representation."
Transition,Trigger,TriggerMode,🟢,"TriggerMode: 0 = manual; 4 = automatic criteria-based (incl. unconditional); 5 = automatic VBScript-gated","§1.1 + §3.5",Yes,"Manual: StateA --> StateB (no label); automatic: after(...) / if(...) / script(...)","§3.5 after/if rows read 'TriggerMode = 4 or 5'; import resolution per §6.2 (if/after → 4; script(...) → 5). Line style is rendering only (§1.1); read TriggerMode directly."
Transition,Trigger,TriggerCriteria,🟢,"TriggerCriteria — opaque engine-exported search-condition format via SearchConditions.GetAsExportedSearchString()","§1.1 + §3.5",Yes,"StateA --> StateB : if(Property=Value)","if(...) is a human/tool-facing proxy, NOT a literal serialization (§1.1/§3.5); import must go through M-Files' search-condition object model, never string-templating."
Transition,Trigger,TriggerInDays,🟢,"TriggerInDays — numeric; UI-stored default 365 across manual and automatic edges alike","§1.2 + §3.5",Yes,"StateA --> StateB : after(30d)","Non-default values change effective latency without changing anything else (§1.2). Interaction with TriggerMode 5 left UNRESOLVED per §6.4 — do not guess a value."
Transition,Trigger,TriggerAllowedByVBScript,🟢,"TriggerAllowedByVBScript — trigger-tab script body","§1.1 + §1.5 + §3.5",Yes,"StateA --> StateB : script(RetryAfter1Min)","script(<name>) is a reference, not code; the body must exist in the Appendix A reference block keyed by the same name. A diagram with script(...) labels but no appendix entries is incomplete for import (§3.5)."
Transition,Trigger (VBScript Out variable),NextStateID,🟢,"Out-mode Number; runtime destination override","§1.3",No,,"INEXPRESSIBLE in Mermaid: a drawn arrow is a guaranteed destination only if no script on that edge reassigns NextStateID. Tools must sweep each automatic transition's script for NextStateID assignment; confirmed absence in one workflow is not a platform guarantee (§1.3)."
Transition,Trigger (VBScript Out variable),AllowStateTransition,🟢,"Out-mode Boolean; allows/denies the transition at runtime","§1.3 + §1.5",Partial,"Inside the script(...) appendix body, e.g. 'AllowStateTransition = True' after an elapsed-time check","Not a label-level encoding; lives inside the referenced VBScript body. Elapsed-time retry pattern per §1.5; depends on periodic evaluation (§1.2)."
Transition,Advanced,Aliases (transition),🟢,"Aliases field","§1.4",No,,"Minimal identifier tab. Config-only."
Transition,Advanced,Unique ID (transition),🟢,"Unique ID (GUID)","§1.4",No,,"Minimal identifier tab. Config-only."
